city,stars,review_count,categories
Toronto,0,72,Pub
Toronto,1,47,Middle Eastern
Toronto,1,5,Other
Toronto,0,23,Fast Food
Toronto,1,6,Asian
Toronto,1,217,Middle Eastern
Toronto,1,16,Coffee or Sandwiches
Toronto,0,3,Fast Food
Toronto,1,12,Asian
Toronto,0,5,Coffee or Sandwiches
Toronto,0,254,Asian
Toronto,0,24,North American
Markham,0,29,Asian
Toronto,0,4,Other
Missisauga,0,20,Asian
Missisauga,0,5,Asian
Toronto,0,4,Middle Eastern
Toronto,0,233,North American
Missisauga,1,37,Middle Eastern
Toronto,1,129,Coffee or Sandwiches
Toronto,0,50,North American
Markham,0,7,Asian
Toronto,1,3,Middle Eastern
Toronto,0,32,Asian
Toronto,0,4,Fast Food
Toronto,0,12,Fast Food
Toronto,1,7,Coffee or Sandwiches
Toronto,1,5,Asian
Toronto,0,3,Fast Food
Markham,1,34,Coffee or Sandwiches
Toronto,0,40,Latin
Toronto,1,167,Fast Food
Missisauga,0,9,Asian
Toronto,0,22,Asian
Markham,0,118,Asian
Toronto,0,6,Middle Eastern
Toronto,0,85,North American
Toronto,0,4,Asian
Markham,0,11,Asian
Toronto,0,22,Other
Toronto,0,19,Pub
Toronto,0,3,Coffee or Sandwiches
Markham,0,30,Asian
Toronto,0,34,Other
Toronto,0,121,North American
Missisauga,0,67,Fast Food
Toronto,0,3,North American
Toronto,0,51,Asian
Toronto,0,15,Pub
Markham,0,9,Asian
Toronto,0,227,Asian
Toronto,0,14,Other
Toronto,0,7,Fast Food
Toronto,1,5,Pub
Toronto,0,134,Fast Food
Markham,0,78,Asian
Toronto,1,18,Coffee or Sandwiches
Markham,1,13,Asian
Toronto,0,15,Asian
Missisauga,1,30,North American
Toronto,0,52,Asian
Toronto,1,6,Other
Toronto,1,7,Other
Toronto,0,3,Asian
Toronto,1,4,North American
Toronto,1,28,North American
Missisauga,1,8,Fast Food
Toronto,1,12,Middle Eastern
Toronto,0,42,Latin
Missisauga,1,7,Asian
Toronto,1,21,Asian
Missisauga,0,6,Middle Eastern
Toronto,0,146,Asian
Toronto,1,90,Asian
Toronto,0,48,Fast Food
Toronto,0,9,Fast Food
Toronto,1,9,North American
Toronto,1,3,Coffee or Sandwiches
Toronto,1,9,Other
Missisauga,1,4,Middle Eastern
Toronto,1,4,Fast Food
Toronto,0,13,Asian
Toronto,0,53,Other
Missisauga,0,3,Other
Toronto,0,6,Latin
Toronto,1,29,Coffee or Sandwiches
Toronto,0,47,Coffee or Sandwiches
Missisauga,0,100,Asian
Toronto,0,5,Coffee or Sandwiches
Toronto,0,3,Other
Toronto,1,26,Asian
Missisauga,1,32,Coffee or Sandwiches
Toronto,0,8,Italian
Toronto,1,58,Coffee or Sandwiches
Toronto,0,44,Asian
Toronto,0,4,Middle Eastern
Toronto,0,18,Fast Food
Toronto,0,5,Asian
Toronto,0,9,Middle Eastern
Toronto,1,15,Latin
Toronto,0,222,Asian
Toronto,1,4,Other
Missisauga,0,3,Fast Food
Toronto,0,6,Other
Toronto,1,17,Other
Markham,0,9,Asian
Toronto,0,3,Fast Food
Toronto,0,7,Pub
Missisauga,0,6,Fast Food
Toronto,0,4,Fast Food
Toronto,0,17,Pub
Toronto,0,3,Pub
Toronto,1,32,Pub
Toronto,0,3,Fast Food
Toronto,1,22,Coffee or Sandwiches
Toronto,1,168,Middle Eastern
Toronto,1,356,Italian
Toronto,0,19,North American
Toronto,1,4,Asian
Toronto,0,4,Other
Missisauga,0,12,Middle Eastern
Missisauga,0,33,Middle Eastern
Missisauga,0,9,Latin
Markham,0,255,Asian
Missisauga,1,7,North American
Toronto,0,3,Asian
Toronto,0,62,North American
Missisauga,0,8,Middle Eastern
Toronto,0,6,North American
Toronto,0,848,Asian
Toronto,0,28,Italian
Toronto,1,66,Pub
Markham,0,12,North American
Missisauga,0,11,Fast Food
Toronto,0,13,Coffee or Sandwiches
Toronto,0,10,Italian
Toronto,0,14,Middle Eastern
Toronto,0,22,Pub
Missisauga,1,7,Other
Toronto,1,19,Fast Food
Toronto,1,4,Other
Toronto,1,17,Asian
Toronto,0,52,Middle Eastern
Markham,0,11,Asian
Toronto,0,168,North American
Missisauga,1,14,Latin
Markham,0,7,Asian
Missisauga,1,8,Coffee or Sandwiches
Toronto,1,70,Other
Markham,0,6,Asian
Toronto,1,76,Asian
Toronto,0,26,Middle Eastern
Toronto,0,3,Middle Eastern
Toronto,0,37,Coffee or Sandwiches
Toronto,0,83,North American
Toronto,0,3,Coffee or Sandwiches
Toronto,1,85,Asian
Missisauga,0,77,Middle Eastern
Missisauga,0,4,Fast Food
Toronto,0,7,Other
Missisauga,0,5,Coffee or Sandwiches
Toronto,1,4,Other
Toronto,0,4,Asian
Toronto,1,89,Italian
Toronto,1,18,Asian
Toronto,1,8,Middle Eastern
Toronto,0,15,Middle Eastern
Toronto,0,4,Other
Toronto,0,4,Fast Food
Toronto,1,11,Pub
Toronto,0,15,Italian
Toronto,0,16,Middle Eastern
Toronto,1,28,Other
Toronto,1,11,Asian
Toronto,0,8,Middle Eastern
Toronto,0,10,Fast Food
Toronto,0,48,Fast Food
Toronto,1,5,Middle Eastern
Missisauga,0,36,Coffee or Sandwiches
Toronto,0,18,Coffee or Sandwiches
Toronto,1,70,Pub
Toronto,0,119,Asian
Toronto,1,26,Middle Eastern
Missisauga,0,7,Middle Eastern
Markham,1,38,North American
Markham,0,3,Asian
Markham,0,52,Asian
Toronto,1,191,Asian
Markham,0,79,Asian
Toronto,0,26,Latin
Markham,0,56,Asian
Missisauga,0,32,Fast Food
Markham,0,5,Asian
Toronto,0,36,Asian
Toronto,1,86,Asian
Toronto,0,21,Other
Missisauga,0,20,Middle Eastern
Toronto,1,3,Middle Eastern
Toronto,0,68,Coffee or Sandwiches
Toronto,1,3,Middle Eastern
Toronto,0,3,Middle Eastern
Toronto,0,13,Pub
Toronto,1,94,Coffee or Sandwiches
Toronto,0,77,North American
Missisauga,0,33,Asian
Toronto,1,6,Coffee or Sandwiches
Toronto,0,12,Fast Food
Toronto,0,200,North American
Toronto,1,12,Pub
Toronto,0,15,Pub
Toronto,0,37,North American
Toronto,0,28,Latin
Toronto,1,8,North American
Toronto,0,180,Coffee or Sandwiches
Missisauga,0,8,Middle Eastern
Toronto,1,34,Asian
Toronto,0,115,North American
Missisauga,0,52,Asian
Missisauga,1,34,Middle Eastern
Toronto,0,5,Middle Eastern
Toronto,1,6,North American
Toronto,0,10,North American
Missisauga,0,14,Asian
Toronto,1,72,Middle Eastern
Toronto,1,106,Fast Food
Toronto,0,28,Asian
Toronto,0,18,North American
Toronto,1,6,Latin
Toronto,0,6,Latin
Toronto,1,30,Middle Eastern
Toronto,1,8,Pub
Toronto,1,258,North American
Toronto,0,56,Middle Eastern
Toronto,0,28,Italian
Markham,0,53,Asian
Toronto,1,8,Asian
Toronto,0,95,Asian
Toronto,1,13,Other
Markham,0,72,Fast Food
Markham,1,261,Asian
Missisauga,1,38,Latin
Toronto,1,44,Pub
Markham,1,265,Asian
Missisauga,1,28,Italian
Toronto,0,53,Other
Missisauga,1,4,Latin
Markham,1,5,Asian
Toronto,0,9,Fast Food
Missisauga,0,12,Coffee or Sandwiches
Missisauga,1,29,Middle Eastern
Toronto,0,10,Asian
Markham,0,6,Other
Markham,0,21,Other
Toronto,0,15,Fast Food
Toronto,0,10,Fast Food
Toronto,1,13,North American
Toronto,1,4,Asian
Toronto,0,6,Fast Food
Toronto,0,48,North American
Toronto,0,28,Asian
Toronto,0,35,Other
Toronto,0,97,Asian
Toronto,0,55,Asian
Toronto,0,13,Pub
Missisauga,1,40,Middle Eastern
Missisauga,0,28,Middle Eastern
Missisauga,1,3,Coffee or Sandwiches
Toronto,1,38,Fast Food
Toronto,1,5,Middle Eastern
Toronto,0,180,Asian
Markham,0,86,Fast Food
Toronto,0,34,Coffee or Sandwiches
Toronto,1,4,Coffee or Sandwiches
Toronto,0,69,Pub
Toronto,0,10,Other
Toronto,1,33,Coffee or Sandwiches
Toronto,0,110,Asian
Toronto,1,4,Asian
Toronto,1,44,Pub
Missisauga,0,4,Fast Food
Toronto,0,8,Fast Food
Toronto,0,138,Asian
Toronto,0,4,Pub
Toronto,0,63,Latin
Toronto,0,13,Other
Missisauga,1,5,Other
Toronto,0,104,Other
Missisauga,0,131,Fast Food
Toronto,0,9,Asian
Toronto,0,37,Coffee or Sandwiches
Toronto,1,6,Fast Food
Missisauga,1,43,Asian
Toronto,0,22,Pub
Toronto,0,75,Asian
Missisauga,0,17,Latin
Toronto,0,4,Pub
Missisauga,1,299,Middle Eastern
Toronto,1,6,Coffee or Sandwiches
Toronto,1,26,Fast Food
Toronto,1,4,Asian
Toronto,1,10,Middle Eastern
Toronto,0,247,North American
Missisauga,1,6,Fast Food
Toronto,0,39,Fast Food
Toronto,0,5,Other
Toronto,0,39,Coffee or Sandwiches
Toronto,0,23,Other
Toronto,0,29,Asian
Toronto,0,3,Other
Toronto,1,6,Latin
Toronto,1,10,Fast Food
Toronto,0,21,Asian
Toronto,0,122,Asian
Toronto,0,36,Middle Eastern
Toronto,0,10,Coffee or Sandwiches
Toronto,0,16,Middle Eastern
Toronto,0,6,Middle Eastern
Missisauga,0,3,Middle Eastern
Toronto,1,41,Other
Toronto,0,3,Asian
Toronto,1,3,Coffee or Sandwiches
Markham,0,66,Pub
Toronto,0,14,Other
Toronto,0,5,Fast Food
Toronto,0,9,North American
Toronto,0,167,Coffee or Sandwiches
Toronto,1,3,Fast Food
Toronto,1,3,Other
Missisauga,0,24,Coffee or Sandwiches
Toronto,0,11,Coffee or Sandwiches
Toronto,0,31,Fast Food
Toronto,0,44,Latin
Toronto,1,4,North American
Toronto,0,3,North American
Toronto,0,79,Asian
Toronto,0,7,Fast Food
Missisauga,0,42,Asian
Toronto,0,19,Asian
Markham,1,151,Other
Toronto,0,84,Pub
Toronto,1,31,North American
Toronto,1,9,Coffee or Sandwiches
Toronto,0,10,Middle Eastern
Markham,0,49,Other
Toronto,0,3,Middle Eastern
Toronto,1,13,Latin
Toronto,0,8,Asian
Toronto,0,10,Fast Food
Toronto,0,12,Asian
Markham,0,14,Middle Eastern
Missisauga,0,149,Middle Eastern
Toronto,0,5,Asian
Toronto,0,40,North American
Toronto,1,113,Coffee or Sandwiches
Toronto,0,95,Pub
Toronto,1,3,Middle Eastern
Toronto,0,8,Asian
Toronto,1,5,Other
Toronto,0,15,Latin
Markham,0,29,Middle Eastern
Missisauga,0,39,Middle Eastern
Toronto,1,379,Latin
Toronto,0,30,Fast Food
Toronto,1,9,Asian
Missisauga,0,3,Latin
Toronto,0,9,Other
Toronto,1,9,Asian
Missisauga,1,5,Italian
Toronto,0,13,Fast Food
Toronto,0,35,Italian
Toronto,1,1184,Asian
Missisauga,0,52,Middle Eastern
Toronto,1,58,Coffee or Sandwiches
Markham,0,155,Coffee or Sandwiches
Markham,0,142,Asian
Missisauga,0,3,Middle Eastern
Toronto,0,48,Fast Food
Markham,0,14,Latin
Toronto,0,54,North American
Toronto,0,289,Asian
Toronto,0,32,Fast Food
Toronto,0,72,Middle Eastern
Toronto,0,3,Coffee or Sandwiches
Missisauga,0,9,Other
Toronto,0,19,Asian
Toronto,0,6,Other
Missisauga,0,34,Asian
Toronto,1,53,Coffee or Sandwiches
Toronto,0,27,Middle Eastern
Toronto,1,157,Fast Food
Toronto,0,29,Coffee or Sandwiches
Toronto,1,48,Pub
Toronto,0,10,Fast Food
Toronto,0,23,Asian
Missisauga,0,3,Asian
Toronto,0,3,Coffee or Sandwiches
Toronto,0,144,Asian
Toronto,0,39,Asian
Toronto,1,6,Coffee or Sandwiches
Toronto,0,55,North American
Toronto,0,15,Coffee or Sandwiches
Toronto,0,31,Asian
Markham,0,19,Middle Eastern
Toronto,0,23,North American
Markham,0,17,Asian
Missisauga,0,7,Fast Food
Toronto,1,21,Asian
Toronto,1,17,Middle Eastern
Toronto,0,20,North American
Missisauga,0,24,North American
Toronto,0,22,Asian
Toronto,1,26,North American
Toronto,1,48,Middle Eastern
Toronto,0,6,North American
Toronto,1,71,Pub
Toronto,0,20,Other
Toronto,0,71,Middle Eastern
Toronto,1,25,Coffee or Sandwiches
Toronto,0,46,North American
Toronto,0,46,Latin
Toronto,0,24,Asian
Missisauga,0,5,Asian
Toronto,1,52,Asian
Toronto,1,5,Coffee or Sandwiches
Toronto,0,21,Middle Eastern
Missisauga,0,4,Fast Food
Toronto,1,20,Other
Toronto,0,16,Other
Toronto,0,130,North American
Toronto,0,3,Asian
Toronto,0,18,Asian
Markham,0,13,Asian
Toronto,1,5,Middle Eastern
Toronto,0,30,Asian
Toronto,0,50,Asian
Toronto,0,3,Coffee or Sandwiches
Markham,0,23,Asian
Toronto,0,6,Latin
Toronto,0,4,Fast Food
Toronto,0,3,Middle Eastern
Missisauga,0,73,Other
Toronto,1,71,North American
Toronto,0,5,Asian
Toronto,0,6,Asian
Toronto,1,9,Fast Food
Toronto,0,5,Fast Food
Markham,0,18,Other
Toronto,1,3,Asian
Toronto,0,3,Middle Eastern
Toronto,0,22,Fast Food
Markham,0,79,Asian
Toronto,1,9,Middle Eastern
Toronto,0,287,North American
Missisauga,0,15,Asian
Toronto,0,9,Fast Food
Missisauga,1,33,Coffee or Sandwiches
Toronto,1,18,Coffee or Sandwiches
Toronto,0,11,Pub
Toronto,0,94,Fast Food
Toronto,0,5,Fast Food
Toronto,1,10,Coffee or Sandwiches
Markham,0,24,Fast Food
Markham,0,7,Asian
Missisauga,1,26,Asian
Missisauga,0,10,Italian
Toronto,0,64,Asian
Toronto,0,25,Coffee or Sandwiches
Toronto,1,4,Asian
Toronto,1,26,Latin
Toronto,1,18,Italian
Toronto,0,7,Asian
Toronto,0,376,Asian
Toronto,1,24,Fast Food
Toronto,1,19,Asian
Toronto,0,5,Asian
Toronto,0,10,Middle Eastern
Markham,0,54,Asian
Markham,0,12,Asian
Toronto,1,11,Asian
Toronto,0,24,Fast Food
Toronto,1,4,Other
Toronto,1,29,Pub
Toronto,0,122,Asian
Toronto,0,10,Middle Eastern
Toronto,0,9,Asian
Toronto,0,11,Pub
Markham,0,14,Asian
Toronto,1,6,Coffee or Sandwiches
Toronto,0,13,Asian
Toronto,0,27,Asian
Toronto,0,68,Italian
Markham,0,3,Asian
Toronto,0,58,Middle Eastern
Markham,0,11,Fast Food
Toronto,0,12,Fast Food
Toronto,0,76,Other
Toronto,0,121,Asian
Toronto,1,140,Latin
Missisauga,0,17,Middle Eastern
Toronto,0,4,Asian
Missisauga,0,79,North American
Missisauga,0,43,North American
Markham,0,7,Fast Food
Toronto,1,6,North American
Toronto,0,306,North American
Toronto,0,6,North American
Markham,0,20,Asian
Toronto,1,7,Asian
Toronto,0,15,Asian
Markham,0,20,Asian
Markham,0,18,Asian
Missisauga,1,16,Middle Eastern
Markham,1,6,Fast Food
Toronto,1,15,North American
Toronto,0,14,North American
Toronto,0,84,Other
Toronto,1,5,Fast Food
Toronto,1,11,Coffee or Sandwiches
Missisauga,1,3,Other
Toronto,1,49,Coffee or Sandwiches
Toronto,0,85,Asian
Toronto,1,14,Asian
Missisauga,0,71,Coffee or Sandwiches
Toronto,1,150,Coffee or Sandwiches
Toronto,1,106,Fast Food
Toronto,1,9,Asian
Missisauga,0,3,Fast Food
Markham,0,17,Coffee or Sandwiches
Toronto,1,22,Asian
Toronto,1,77,Asian
Toronto,0,8,Fast Food
Markham,0,8,Asian
Toronto,0,7,Middle Eastern
Missisauga,1,6,Other
Missisauga,1,68,Asian
Toronto,0,16,Fast Food
Toronto,0,10,Asian
Toronto,1,21,Fast Food
Toronto,1,11,Asian
Toronto,1,47,Asian
Toronto,0,4,Coffee or Sandwiches
Toronto,0,6,Fast Food
Toronto,0,4,Asian
Toronto,1,4,Fast Food
Missisauga,1,19,Coffee or Sandwiches
Missisauga,0,4,Coffee or Sandwiches
Toronto,0,18,Italian
Toronto,0,6,Coffee or Sandwiches
Toronto,0,3,Middle Eastern
Toronto,0,43,Middle Eastern
Toronto,0,4,Italian
Toronto,1,18,North American
Missisauga,0,13,Other
Markham,0,32,North American
Toronto,0,16,Fast Food
Toronto,0,16,Other
Toronto,0,83,Other
Toronto,1,18,Coffee or Sandwiches
Toronto,1,62,Coffee or Sandwiches
Toronto,1,25,Pub
Toronto,0,3,Coffee or Sandwiches
Toronto,0,112,Asian
Toronto,0,249,Asian
Toronto,1,8,Other
Toronto,0,9,North American
Toronto,0,7,Middle Eastern
Missisauga,0,12,Asian
Toronto,0,9,Asian
Toronto,0,8,Asian
Toronto,0,18,Asian
Toronto,0,10,Middle Eastern
Toronto,1,182,Asian
Toronto,0,16,Middle Eastern
Toronto,0,65,Fast Food
Toronto,1,4,Coffee or Sandwiches
Toronto,0,21,Asian
Toronto,1,37,Italian
Toronto,0,9,Pub
Toronto,1,76,Italian
Toronto,0,29,North American
Toronto,0,20,North American
Toronto,0,4,Asian
Missisauga,0,19,Asian
Toronto,0,6,Middle Eastern
Toronto,1,124,Latin
Toronto,0,27,Pub
Toronto,1,5,Italian
Toronto,1,30,Asian
Toronto,0,5,Other
Missisauga,0,110,Pub
Toronto,1,12,Pub
Toronto,0,82,Fast Food
Toronto,0,3,Middle Eastern
Toronto,0,133,Latin
Toronto,1,6,Other
Toronto,0,5,Coffee or Sandwiches
Toronto,0,46,Fast Food
Toronto,0,10,Middle Eastern
Toronto,0,3,Fast Food
Toronto,1,6,Other
Toronto,1,12,Middle Eastern
Toronto,1,4,Coffee or Sandwiches
Toronto,1,17,Italian
Toronto,0,12,Asian
Toronto,1,12,Other
Toronto,0,18,North American
Toronto,0,96,Other
Missisauga,1,35,Fast Food
Toronto,1,13,Asian
Missisauga,1,22,Fast Food
Toronto,1,26,Latin
Toronto,1,82,Pub
Toronto,0,4,Fast Food
Toronto,1,31,Middle Eastern
Toronto,1,19,Latin
Markham,0,4,Asian
Toronto,0,19,Asian
Missisauga,0,8,North American
Toronto,1,4,Middle Eastern
Missisauga,0,7,Fast Food
Missisauga,0,3,Coffee or Sandwiches
Toronto,0,3,Fast Food
Toronto,0,49,North American
Markham,0,14,Middle Eastern
Toronto,0,17,Italian
Toronto,0,36,Fast Food
Toronto,0,7,North American
Toronto,0,96,Asian
Missisauga,0,28,North American
Toronto,1,5,Asian
Toronto,0,35,Pub
Missisauga,0,42,North American
Toronto,0,3,Fast Food
Missisauga,0,66,Asian
Toronto,0,3,Middle Eastern
Toronto,0,213,Fast Food
Missisauga,1,7,North American
Toronto,1,143,North American
Toronto,0,10,Middle Eastern
Toronto,0,90,Latin
Toronto,0,4,Asian
Markham,1,123,Asian
Toronto,0,7,Coffee or Sandwiches
Toronto,1,149,Coffee or Sandwiches
Toronto,0,15,Coffee or Sandwiches
Toronto,0,110,Other
Toronto,1,4,Italian
Toronto,1,20,Asian
Toronto,1,5,Middle Eastern
Toronto,1,37,Asian
Toronto,0,48,Fast Food
Toronto,0,3,Latin
Toronto,1,24,Middle Eastern
Toronto,0,5,Fast Food
Missisauga,0,9,Italian
Toronto,0,7,Asian
Toronto,0,46,Asian
Toronto,1,12,Pub
Toronto,0,33,North American
Missisauga,1,3,Middle Eastern
Toronto,0,13,Fast Food
Markham,0,13,Coffee or Sandwiches
Toronto,0,46,Asian
Missisauga,0,24,Asian
Toronto,0,10,Fast Food
Toronto,0,27,Asian
Toronto,1,102,Pub
Toronto,0,4,Fast Food
Toronto,0,13,Coffee or Sandwiches
Toronto,0,27,Fast Food
Toronto,0,26,Latin
Toronto,0,5,Asian
Toronto,0,25,Asian
Toronto,1,12,Fast Food
Missisauga,0,8,Pub
Toronto,0,3,Pub
Toronto,0,24,Coffee or Sandwiches
Toronto,0,26,Pub
Markham,1,21,Coffee or Sandwiches
Toronto,0,4,Fast Food
Toronto,0,19,North American
Toronto,0,97,Coffee or Sandwiches
Toronto,0,6,Pub
Toronto,0,72,Pub
Toronto,0,73,Asian
Toronto,1,3,Other
Toronto,0,3,Fast Food
Missisauga,0,27,Asian
Toronto,1,6,Coffee or Sandwiches
Missisauga,0,146,Asian
Toronto,1,16,Pub
Toronto,0,4,Coffee or Sandwiches
Toronto,1,25,Pub
Toronto,1,13,Pub
Toronto,0,33,Coffee or Sandwiches
Toronto,1,28,Middle Eastern
Toronto,0,14,Coffee or Sandwiches
Toronto,0,8,Asian
Missisauga,1,8,Fast Food
Toronto,0,48,Pub
Missisauga,1,277,Fast Food
Markham,0,6,Coffee or Sandwiches
Toronto,0,8,Asian
Toronto,1,5,Coffee or Sandwiches
Markham,0,16,Coffee or Sandwiches
Toronto,0,18,Coffee or Sandwiches
Toronto,0,100,North American
Missisauga,1,6,Fast Food
Toronto,0,3,Fast Food
Toronto,0,13,Coffee or Sandwiches
Toronto,0,17,Fast Food
Toronto,0,49,Asian
Markham,1,48,Middle Eastern
Toronto,0,29,Coffee or Sandwiches
Missisauga,1,8,Middle Eastern
Markham,0,9,Asian
Toronto,0,15,Fast Food
Toronto,0,116,North American
Markham,0,6,Asian
Toronto,1,6,Fast Food
Toronto,0,60,Asian
Missisauga,0,8,Asian
Toronto,0,9,Coffee or Sandwiches
Toronto,0,34,Fast Food
Missisauga,0,10,Fast Food
Missisauga,0,4,Fast Food
Toronto,1,41,Coffee or Sandwiches
Missisauga,1,16,Middle Eastern
Toronto,0,7,Fast Food
Missisauga,0,7,Middle Eastern
Missisauga,0,4,Middle Eastern
Toronto,0,3,Other
Toronto,0,37,Coffee or Sandwiches
Missisauga,0,3,Middle Eastern
Toronto,0,25,Fast Food
Toronto,1,33,Fast Food
Toronto,1,20,North American
Toronto,0,24,Other
Toronto,0,3,Asian
Toronto,1,500,Fast Food
Toronto,0,15,Other
Toronto,1,51,Other
Missisauga,1,4,Fast Food
Missisauga,0,27,Coffee or Sandwiches
Missisauga,1,9,Asian
Toronto,1,289,Pub
Toronto,1,35,Pub
Toronto,0,164,Asian
Toronto,0,28,Other
Toronto,0,25,Fast Food
Markham,0,25,Asian
Toronto,0,29,Fast Food
Toronto,1,63,Middle Eastern
Toronto,0,6,Middle Eastern
Toronto,0,66,Coffee or Sandwiches
Toronto,1,6,Middle Eastern
Toronto,1,546,North American
Toronto,0,7,Asian
Toronto,1,13,Middle Eastern
Toronto,1,3,Asian
Toronto,1,3,Coffee or Sandwiches
Markham,0,66,Asian
Toronto,0,264,Asian
Toronto,0,41,Middle Eastern
Toronto,1,3,North American
Toronto,1,132,North American
Toronto,0,3,Asian
Toronto,1,16,Coffee or Sandwiches
Markham,0,15,Other
Toronto,1,27,Other
Missisauga,0,4,Fast Food
Markham,0,120,Asian
Toronto,1,3,Asian
Toronto,1,14,Other
Toronto,0,19,Middle Eastern
Toronto,0,7,Fast Food
Markham,0,144,Asian
Toronto,0,8,Middle Eastern
Toronto,1,58,Asian
Toronto,1,67,Asian
Markham,1,3,Asian
Toronto,0,92,North American
Toronto,0,6,Fast Food
Missisauga,1,9,Latin
Missisauga,0,61,Fast Food
Missisauga,1,216,Other
